p0,p1,p2,p3,p4,p5,p6,p7,exe_time,density
8,200, ,#pragma omp parallel for,16,32,sockets,balanced,3.855835,259.79296163075315
8,200, ,#pragma omp parallel for,16,32,sockets,balanced,3.857695,259.79296163075315
8,200, ,#pragma omp parallel for,32,16,sockets,balanced,3.84877,259.7929613328041
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,128,4,sockets,balanced,3.854215,256.9295324301207
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,128,2,sockets,balanced,3.88162,255.76813917101117
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,128,8,sockets,balanced,3.868475,255.74563747728035
8,64, ,#pragma omp parallel for,8,8,threads,balanced,3.861065,251.54745692001111
8,64, ,#pragma omp parallel for,16,128,sockets,balanced,3.8604700000000003,251.414220308759
8,64, ,#pragma omp parallel for,16,2,threads,balanced,4.512615,250.96860655979066
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,8,32,cores,balanced,3.893185,241.2056666271531
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,128,16,sockets,balanced,3.85384,239.90140036132584
8,80,#pragma clang loop unrolling full, ,4,96,sockets,balanced,5.49788,238.90796793473328
8,80, ,#pragma omp parallel for,96,4,cores,balanced,3.890895,235.96769016979522
8,64, ,#pragma omp parallel for,16,64,threads,balanced,3.871625,233.66997562437422
8,80, ,#pragma omp parallel for,96,8,cores,balanced,3.87881,233.57398931859478
7,128, ,#pragma omp parallel for,64,8,cores,balanced,4.406905,233.3177005874633
8,40, ,#pragma omp parallel for,16,32,threads,balanced,3.89193,232.94481847127645
8,80, ,#pragma omp parallel for,16,8,threads,balanced,3.8869350000000003,232.39364789791074
8,128, ,#pragma omp parallel for,96,32,cores,balanced,3.848915,223.91573215183746
8,80, ,#pragma omp parallel for,32,2,threads,balanced,3.86152,223.4679333815909
8,80, ,#pragma omp parallel for,32,2,threads,balanced,4.52358,223.4679333815909
8,80,#pragma clang loop unrolling full, ,2,96,sockets,balanced,5.498405,223.46793315002262
8,64, ,#pragma omp parallel for,8,4,threads,balanced,3.857385,223.14762949163884
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,2,sockets,balanced,3.85475,219.185604697388
8,40, ,#pragma omp parallel for,16,2,sockets,balanced,3.8648949999999997,216.7382676849757
8,40, ,#pragma omp parallel for,8,4,sockets,balanced,3.86444,214.6244557687321
7,160, ,#pragma omp parallel for,64,16,cores,balanced,4.40057,214.31525432516466
7,160, ,#pragma omp parallel for,64,16,cores,balanced,4.38399,214.31525432516466
7,160, ,#pragma omp parallel for,64,16,cores,balanced,4.38922,214.31525432516466
