p0,p1,p2,p3,p4,p5,p6,p7,exe_time,density
8,80, ,#pragma omp parallel for,64,32,cores,balanced,0.192195,292.5872106112792
7,80,#pragma clang loop unrolling full,#pragma omp parallel for,8,16,cores,balanced,0.21943000000000001,291.9170815481597
7,64,#pragma clang loop unrolling full,#pragma omp parallel for,32,4,cores,balanced,0.30589500000000003,291.66447324461797
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,32,32,sockets,balanced,0.19196000000000002,290.8863956478408
8,200, ,#pragma omp parallel for,32,2,sockets,balanced,0.19262,290.83953227371
8,200, ,#pragma omp parallel for,32,2,sockets,balanced,0.191905,290.83953227371
8,200, ,#pragma omp parallel for,4,32,sockets,balanced,0.191925,290.17026527019453
7,80,#pragma clang loop unrolling full,#pragma omp parallel for,4,16,cores,balanced,0.306275,289.83763907612797
7,80,#pragma clang loop unrolling full,#pragma omp parallel for,4,16,cores,balanced,0.219345,289.83763907612797
8,80, ,#pragma omp parallel for,4,4,sockets,balanced,0.19416,288.30602943667566
8,80, ,#pragma omp parallel for,4,4,sockets,balanced,0.19241,288.30602943667566
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,64,32,cores,balanced,0.19239499999999998,288.1440906881739
8,40, ,#pragma omp parallel for,64,2,sockets,balanced,0.192615,287.7269030417729
8,40, ,#pragma omp parallel for,64,8,sockets,balanced,0.19300499999999998,285.9740971249806
8,40, ,#pragma omp parallel for,64,8,sockets,balanced,0.192745,285.9740971249806
8,80, ,#pragma omp parallel for,8,2,sockets,balanced,0.19258999999999998,282.82191678837177
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,64,16,cores,balanced,0.193165,282.0280423589424
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,96,16,sockets,balanced,0.1927,277.97107365029797
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,96,16,sockets,balanced,0.19289499999999998,277.97107365029797
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,96,16,sockets,balanced,0.19276,277.97107365029797
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,2,cores,balanced,0.19214,277.38784862593394
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,96,32,sockets,balanced,0.26824,275.7891165671786
8,40, ,#pragma omp parallel for,64,16,cores,balanced,0.19291999999999998,275.76657106179266
8,40, ,#pragma omp parallel for,2,16,cores,balanced,0.19282,275.6322290952774
8,100, ,#pragma omp parallel for,32,4,cores,balanced,0.19294499999999998,275.1564869073075
8,100, ,#pragma omp parallel for,32,4,cores,balanced,0.192425,275.1564869073075
