p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,4,80,100,0.000142,771.6798102855682
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,100,4,80,100,0.000148,782.1472415924072
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,4,80,100,0.0001365,792.5796732902527
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,4,80,100,0.0001405,801.4790663719177
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,4,80,100,0.000136,810.2244760990143
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,2048,4,80,100,0.0001295,821.2035217285156
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,128,4,80,100,0.0001345,829.534738779068
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,4,80,100,0.0001365,838.174633026123
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,4,80,100,0.00013,846.7386319637299
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,4,80,100,0.0001355,855.4119143486023
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,4,80,100,0.000126,863.6951501369476
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,100,4,80,100,0.0001645,872.7851572036743
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,4,80,100,0.0001695,882.0000202655792
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,128,4,80,100,0.0001284999999999,890.959733247757
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,4,80,100,0.000163,899.7077929973602
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,4,80,100,0.0001645,910.2189819812776
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,128,4,80,100,0.0001335,919.1312000751496
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,100,4,80,100,0.000148,928.5310261249542
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,128,4,80,100,0.0001275,938.70707821846
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,80,4,80,100,0.0001439999999999,947.7263677120208
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,80,4,80,100,0.0001325,956.0188732147216
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,128,4,80,100,0.0001264999999999,964.2625470161438
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,100,4,80,100,0.000137,972.7108550071716
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,64,4,80,100,0.0001315,981.8346028327942
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,128,4,80,100,0.000125,990.4226574897766
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,100,4,80,100,0.000176,999.4448416233064
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,100,4,80,100,0.0001665,1010.1441266536712
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,128,4,80,100,0.000135,1019.7151403427124
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,100,4,80,100,0.000152,1029.5549943447113
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,128,4,80,100,0.0001385,1039.547491312027
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,80,4,80,100,0.0001329999999999,1048.3364713191986
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,80,4,80,100,0.000148,1057.4436571598053
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,100,4,80,100,0.000141,1066.0213305950165
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,4,80,100,0.0001329999999999,1075.862493276596
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,80,4,80,100,0.0001275,1084.278934955597
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,80,4,80,100,0.0001325,1092.7865211963654
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,80,4,80,100,0.000133,1101.402862071991
 , ,16,2048,4,80,100,5.75e-05,1110.2354991436005
 , ,100,2048,4,80,100,5.8e-05,1118.970919132233
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,100,4,80,100,0.000171,1128.8563644886017
 , ,8,2048,4,80,100,6.3e-05,1139.3946776390076
 , ,128,2048,4,80,100,5.95e-05,1148.1465258598328
 , ,4,2048,4,80,100,7.8e-05,1161.512416124344
 , ,50,128,4,80,100,5.8e-05,1173.2753825187683
 , ,96,2048,4,80,100,5.8e-05,1182.2553136348724
 , ,16,128,4,80,100,5.7e-05,1191.3145654201508
 , ,20,2048,4,80,100,5.75e-05,1201.5832426548004
 , ,20,100,4,80,100,5.8e-05,1210.5029301643372
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,80,4,80,100,0.0001325,1219.1024906635284
 , ,32,2048,4,80,100,7.25e-05,1228.0509505271912
 , ,64,2048,4,80,100,5.9999999999999995e-05,1238.1530859470367
#pragma clang loop(j2) pack array(data) allocate(malloc), ,64,128,4,80,100,0.0001165,1249.0363223552704
#pragma clang loop(j2) pack array(data) allocate(malloc), ,4,2048,4,80,100,0.000113,1260.2186977863312
#pragma clang loop(j2) pack array(data) allocate(malloc), ,100,128,4,80,100,0.000118,1270.5670886039734
#pragma clang loop(j2) pack array(data) allocate(malloc), ,50,2048,4,80,100,0.0001099999999999,1281.6478242874146
#pragma clang loop(j2) pack array(data) allocate(malloc), ,16,2048,4,80,100,0.000106,1293.6513414382937
#pragma clang loop(j2) pack array(data) allocate(malloc), ,100,2048,4,80,100,0.0001215,1303.983608007431
#pragma clang loop(j2) pack array(data) allocate(malloc), ,20,2048,4,80,100,0.000105,1314.7871282100675
#pragma clang loop(j2) pack array(data) allocate(malloc), ,4,128,4,80,100,0.0001075,1325.4390728473663
#pragma clang loop(j2) pack array(data) allocate(malloc), ,50,128,4,80,100,0.000107,1337.4029650688171
#pragma clang loop(j2) pack array(data) allocate(malloc), ,64,2048,4,80,100,0.000108,1347.9466099739077
#pragma clang loop(j2) pack array(data) allocate(malloc), ,32,128,4,80,100,0.0001075,1358.60702085495
#pragma clang loop(j2) pack array(data) allocate(malloc), ,96,2048,4,80,100,0.0001225,1368.5146458148956
#pragma clang loop(j2) pack array(data) allocate(malloc), ,8,2048,4,80,100,0.000108,1379.4939658641815
 , ,16,4,4,80,100,0.0006825,1389.3038771152496
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,4,80,100,0.0001885,1400.083556652069
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,4,80,100,0.0001684999999999,1409.8639483451843
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,2048,4,80,100,0.000169,1421.0313258171082
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,4,80,100,0.0001385,1430.152413368225
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,4,80,100,0.0002334999999999,1439.6876027584076
#pragma clang loop(j2) pack array(data) allocate(malloc), ,64,64,4,80,100,0.0001175,1450.9431478977203
#pragma clang loop(j2) pack array(data) allocate(malloc), ,4,80,4,80,100,0.000108,1461.6468732357023
#pragma clang loop(j2) pack array(data) allocate(malloc), ,20,80,4,80,100,0.000106,1472.1827228069303
#pragma clang loop(j2) pack array(data) allocate(malloc), ,64,80,4,80,100,0.000107,1482.586977481842
#pragma clang loop(j2) pack array(data) allocate(malloc), ,8,64,4,80,100,0.0001225,1493.4705061912537
