p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
8,20, ,#pragma omp parallel for,16,8,sockets,balanced,0.039,2856.693202972412
8,200, ,#pragma omp parallel for,16,256,cores,balanced,0.0395,2873.585826396942
8,200, ,#pragma omp parallel for,16,4,threads,balanced,0.0395,2890.4986412525177
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,16,32,threads,balanced,0.0395,2907.334935903549
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,16,8,threads,balanced,0.054,2924.2972736358643
8,128, ,#pragma omp parallel for,64,4,threads,balanced,0.0545,2941.293377161026
8,200, , ,16,128,threads,balanced,0.0395,2958.0472486019135
8,64, ,#pragma omp parallel for,16,64,threads,balanced,0.0395,2974.74559879303
8,80, , ,16,256,threads,balanced,0.039,2991.482547044754
8,20, , ,16,64,cores,none,0.0605,3008.2376656532288
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,16,64,cores,balanced,0.0395,3025.0981714725494
8,40, ,#pragma omp parallel for,16,64,threads,balanced,0.039,3041.7787771224976
8,64, ,#pragma omp parallel for,16,64,cores,balanced,0.0545,3058.4866552352905
8,100, ,#pragma omp parallel for,16,64,cores,balanced,0.0395,3075.229833841324
8,200, ,#pragma omp parallel for,16,128,sockets,balanced,0.055,3092.1778180599213
8,100, ,#pragma omp parallel for,16,2,sockets,balanced,0.039,3108.877147912979
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,2,cores,balanced,0.0395,3125.603402853012
8,80, ,#pragma omp parallel for,16,96,sockets,balanced,0.039,3142.356104850769
8,100, ,#pragma omp parallel for,16,8,sockets,balanced,0.0395,3159.0680475234985
8,40, ,#pragma omp parallel for,16,4,sockets,balanced,0.0395,3175.8263075351715
8,64, , ,16,8,threads,balanced,0.04,3192.550945997238
8,20, ,#pragma omp parallel for,16,128,sockets,balanced,0.039,3209.271903038025
8,10, ,#pragma omp parallel for,16,128,sockets,balanced,0.04,3226.026996612549
8,200,#pragma clang loop unrolling full, ,16,128,threads,balanced,0.039,3242.7726707458496
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,16,96,sockets,balanced,0.039,3259.6576001644135
8,200, , ,16,64,threads,balanced,0.0395,3276.380918979645
8,80, ,#pragma omp parallel for,16,64,sockets,balanced,0.055,3293.296255350113
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,2,threads,balanced,0.039,3310.0940306186676
7,80,#pragma clang loop unrolling full,#pragma omp parallel for,128,96,sockets,balanced,0.044,3326.821475505829
