p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
2,20,#pragma clang loop unrolling full,#pragma omp parallel for,96,16,sockets,explicit,4.660595,3535.3205585479736
3,20, ,#pragma omp parallel for,16,96,threads,none,3.1692299999999998,3559.0316712856293
7,40,#pragma clang loop unrolling full, ,96,4,cores,disabled,1.387585,3577.1150691509247
5,100, ,#pragma omp parallel for,128,2,sockets,explicit,1.886825,3597.031212568283
5,128, ,#pragma omp parallel for,2,256,sockets,compact,1.858725,3617.362768650055
2,100, , ,2,128,threads,balanced,3.9717599999999997,3645.0309438705444
3,160,#pragma clang loop unrolling full, ,256,128,cores,balanced,3.54893,3671.031128883362
7,128, , ,32,16,cores,scatter,1.312545,3689.032060146332
4,200,#pragma clang loop unrolling full,#pragma omp parallel for,128,96,threads,scatter,2.322755,3711.0307569503784
8,100,#pragma clang loop unrolling full, ,64,8,cores,explicit,1.16585,3729.0319640636444
2,64, , ,16,2,threads,balanced,3.920245,3755.030948162079
5,40,#pragma clang loop unrolling full, ,32,96,threads,none,1.87296,3775.031585216522
5,100,#pragma clang loop unrolling full, ,32,8,sockets,explicit,1.9075199999999999,3795.03111577034
6,128,#pragma clang loop unrolling full, ,2,128,sockets,explicit,1.5412249999999998,3813.5676805973053
7,128,#pragma clang loop unrolling full, ,8,16,sockets,none,1.161765,3831.0311517715454
5,100, ,#pragma omp parallel for,32,64,sockets,explicit,1.862575,3851.030933856964
8,10, ,#pragma omp parallel for,256,32,cores,scatter,1.1957550000000001,3869.0307989120483
6,128,#pragma clang loop unrolling full,#pragma omp parallel for,8,4,sockets,explicit,1.50962,3889.031882047653
5,200,#pragma clang loop unrolling full, ,16,128,cores,explicit,1.8504399999999999,3909.0309324264526
5,100,#pragma clang loop unrolling full, ,2,2,sockets,disabled,1.83311,3929.0315701961517
4,200,#pragma clang loop unrolling full, ,128,8,sockets,scatter,2.28892,3951.032921552658
4,200, , ,64,128,sockets,compact,2.380795,3973.031630039215
5,64, , ,8,96,threads,balanced,1.5588899999999999,3991.569687128067
4,160,#pragma clang loop unrolling full,#pragma omp parallel for,256,64,cores,disabled,2.3127750000000002,4013.4846291542053
5,200,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,threads,compact,2.4678500000000003,4035.5277185440063
4,10,#pragma clang loop unrolling full,#pragma omp parallel for,2,32,sockets,scatter,2.367025,4057.0310564041138
2,10, ,#pragma omp parallel for,4,256,sockets,scatter,4.613265,4085.443378686905
8,100,#pragma clang loop unrolling full, ,256,4,cores,disabled,1.202045,4103.032421112061
6,200,#pragma clang loop unrolling full,#pragma omp parallel for,128,128,sockets,scatter,1.57843,4123.032019853592
3,160, , ,32,256,cores,disabled,3.035015,4147.032204866409
2,200, , ,4,8,sockets,explicit,3.82927,4173.030902862549
5,200, , ,2,4,sockets,disabled,1.733365,4193.030848264694
3,80, ,#pragma omp parallel for,64,96,cores,none,3.038495,4217.031174659729
8,40, ,#pragma omp parallel for,16,16,threads,disabled,1.1538249999999999,4235.031944513321
7,100, , ,96,4,sockets,balanced,1.606185,4255.030835151672
4,128,#pragma clang loop unrolling full,#pragma omp parallel for,32,8,threads,scatter,2.31245,4277.030785083771
8,20,#pragma clang loop unrolling full,#pragma omp parallel for,96,96,sockets,disabled,1.162265,4295.031119823456
7,40,#pragma clang loop unrolling full, ,256,96,sockets,balanced,1.6347,4315.031795501709
