input,p0,p1,p2,p3,p4,p5,objective,elapsed_sec
1000000,4,threads,master, , , ,0.45421,1195.8037858009338
1000000,42,sockets,close,#pragma omp parallel for, ,"schedule(static,4)",0.54541,1204.5051381587982
1000000,21,sockets,spread, , ,"schedule(static,4)",0.45014,1212.3596725463867
1000000,42,cores,close, , ,"schedule(static,1)",0.452935,1220.2907514572144
1000000,4,threads,master,#pragma omp parallel for, ,"schedule(static,2)",0.5071,1228.5562794208527
1000000,16,threads,close, , ,"schedule(static,16)",0.454615,1236.2433614730835
1000000,8,cores,master,#pragma omp parallel for, ,"schedule(static,1)",0.532755,1244.7156264781952
1000000,2,cores,master, , ,"schedule(static,4)",0.456055,1252.717598438263
1000000,32,threads,master,#pragma omp parallel for,simd,"schedule(static,4)",0.5341400000000001,1261.4176404476166
1000000,32,sockets,spread,#pragma omp parallel for,simd,"schedule(static,1)",0.5251,1270.0995213985443
1000000,8,threads,spread,#pragma omp parallel for, ,"schedule(static,8)",0.5428,1278.8202052116394
1000000,32,cores,spread,#pragma omp parallel for, ,"schedule(static,32)",0.530605,1287.4470229148865
1000000,42,threads,master, ,simd,"schedule(static,32)",0.46331500000000003,1295.1576027870178
1000000,32,threads,close,#pragma omp parallel for,simd,"schedule(static,16)",0.52583,1303.5727739334106
1000000,8,cores,master,#pragma omp parallel for,simd, ,0.535335,1312.0687327384949
1000000,16,threads,master,#pragma omp parallel for, ,"schedule(static,4)",0.5264949999999999,1320.6904928684235
1000000,32,sockets,close,#pragma omp parallel for, ,"schedule(static,4)",0.527385,1329.3799192905426
1000000,32,sockets,spread,#pragma omp parallel for, ,"schedule(static,4)",0.525675,1338.0023424625397
1000000,16,sockets,spread, , ,"schedule(static,1)",0.450855,1345.805192232132
1000000,32,sockets,close, ,simd,"schedule(static,1)",0.450965,1353.5662500858307
1000000,21,cores,spread, , ,"schedule(static,2)",0.4491,1361.2718696594238
1000000,32,sockets,spread, ,simd,"schedule(static,2)",0.44976,1368.8712139129639
1000000,42,cores,master, , ,"schedule(static,16)",0.45215,1376.5238482952118
1000000,42,sockets,spread, ,simd,"schedule(static,8)",0.45275,1384.1395871639252
1000000,2,cores,close, ,simd,"schedule(static,2)",0.47087999999999997,1392.171472787857
1000000,21,sockets,spread, ,simd,"schedule(static,32)",0.463025,1402.9488089084625
1000000,2,sockets,master,#pragma omp parallel for,simd, ,0.48975,1411.134318113327
1000000,21,cores,close, ,simd, ,0.45389500000000005,1418.785344839096
1000000,4,sockets,spread,#pragma omp parallel for, ,"schedule(static,16)",0.523605,1427.078629732132
1000000,21,sockets,spread, , ,"schedule(static,16)",0.453975,1434.6722021102905
1000000,8,cores,master,#pragma omp parallel for, ,"schedule(static,4)",0.5230250000000001,1443.0823707580566
1000000,16,threads,master,#pragma omp parallel for, , ,0.540005,1451.7036092281342
1000000,16,threads,spread,#pragma omp parallel for, ,"schedule(static,1)",0.504205,1460.353803396225
1000000,8,cores,master,#pragma omp parallel for, ,"schedule(static,4)",0.54478,1468.7273874282837
1000000,8,threads,spread, ,simd,"schedule(static,8)",0.45433999999999997,1476.4647586345673
1000000,4,sockets,spread, ,simd,"schedule(static,8)",0.450625,1484.2058584690094
1000000,32,threads,close, , , ,0.45114,1492.1073677539825
1000000,42,threads,close, ,simd,"schedule(static,8)",0.470695,1500.1866948604584
1000000,21,sockets,spread, , ,"schedule(static,32)",0.463505,1507.9987471103668
